Date,Open,High,Low,Close
2025-07-11 19:50:51.309,137760,137760,137760,137760
2025-07-11 17:00:33.776,137760,137835,137645,137830
2025-07-11 17:12:46.164,137830,137905,137750,137900
2025-07-11 17:27:02.496,137900,137920,137760,137760
2025-07-11 17:31:53.300,137760,137765,137685,137690
2025-07-11 17:38:07.593,137690,137710,137615,137620
2025-07-11 17:51:36.629,137620,137760,137605,137760
2025-07-11 17:52:08.384,137760,137835,137745,137830
2025-07-11 17:58:25.814,137830,137865,137690,137690
2025-07-11 18:10:30.114,137690,137830,137615,137620
2025-07-11 18:20:30.759,137620,137690,137545,137550
2025-07-11 18:20:38.357,137550,137550,137475,137480
